id,availability,condition,title,description,link,image_link,price,gtin,mpn,brand,item_group_id,google_product_category,color,material,pattern
"1000113035Neg","in stock","new","Jeans 5N110","Fit: SkinnyEstilo de Color: LisoComposicion: 72% Algodón / 27% Poliéster / 1% SpandexPeso Aproximado: 0.440 kg","https://mauiandsons.cl/1000113035neg-jeans-5n110-mau.html","https://mauiandsons.cl/media/catalog/product/5/n/5n110-mi21skinnyblack_1.jpg","27990.00 CLP","","","Maui and Sons","","","Negro","",""
"1000113050Azu","in stock","new","Jeans 5N113","Fit: SkinnyEstilo de Color: LisoComposicion: 70% Algodón / 28% Poliéster / 2% SpandexPeso Aproximado: 0.440 kg","https://mauiandsons.cl/1000113050azu-jeans-5n113-mau.html","https://mauiandsons.cl/media/catalog/product/5/n/5n113-mi21skinnyblue_1.jpg","27990.00 CLP","","","Maui and Sons","","","","",""
"1000115105Azu","in stock","new","Jeans 5N114","Fit: SpmEstilo de Color: LisoComposicion: 73% Algodón/23% Poliéster/2% Viscosa/2% SpandexPeso Aproximado: 0.440 kg","https://mauiandsons.cl/1000115105azu-jeans-5n114-mau.html","https://mauiandsons.cl/media/catalog/product/5/n/5n114-mi21slimdenim_1.jpg","27990.00 CLP","","","Maui and Sons","","","Azul","",""
"1000117102Roj","in stock","new","Globe Cruiser Complete 31' Aperture Cult of Freedom 7HS122-MT21","Cruiser ArmadoMedida Tabla: 31'x9.5'x14.75'WBRodamientos Globe ABEC 7Tensor Alloy 6.5' TrucksMaterial Tabla: Resina-7 Hard rock mapleRuedas 60 MM 80aPeso Aproximado: kg","https://mauiandsons.cl/1000117102roj-globecruisercomplete31-aperturecultoffreedom7hs122-mt21.html","https://mauiandsons.cl/media/catalog/product/7/h/7hs122-mt21_1.jpg","149990.00 CLP","","","Maui and Sons","","","","",""
"1000117804Neg","in stock","new","LENTES DE SOL DRAGON REMIX LL ION","The Remix hace una declaración audaz de estilo. Una ligera variación de nuestra montura m√°s popular, The Jam, este diseño progresivo de fabricación italiana presenta una √∫nica lente estilo escudo que le da un ajuste ligeramente m√°s plano. Los detalles de la insignia de metal en la sien y una historia de colores que va desde el incógnito hasta el color caramelo completan el paquete.Lente optimizada de color LumalensResina vegetal moldeada por inyecciónProtección UV 100%Lente protectora de policarbonatoPeso Aproximado: kg","https://mauiandsons.cl/1000117804neg-remix-ll-ion-matte-black-inferno-ll-red-ion-5hg207-mt21-dragon.html","https://mauiandsons.cl/media/catalog/product/5/h/5hg207-mt21.png","119990.00 CLP","","","Maui and Sons","","","Negro","",""
"1000080417_Azul","in stock","new","Gorro 5G1069","Estilo de Color: LisoComposicion: 100% AcrylicPeso Aproximado: 0.600 kg","https://mauiandsons.cl/1000080417-azul-gorro-5g1069.html","https://mauiandsons.cl/media/catalog/product/5/g/5g1069-mi20-1_1_4.jpg","4990.00 CLP","","","Maui and Sons","","","","",""
"1000080418_Negro","in stock","new","Gorro 5G1069","Estilo de Color: LisoComposicion: 100% AcrylicPeso Aproximado: 0.600 kg","https://mauiandsons.cl/1000080418-negro-gorro-5g1069.html","https://mauiandsons.cl/media/catalog/product/5/g/5g1069-mi20-2_1_4.jpg","4990.00 CLP","","","Maui and Sons","","","Negro","",""
"1000080421_Negro","in stock","new","Gorro 5G1070","Estilo de Color: LisoComposicion: 100% AcrylicPeso Aproximado: 0.600 kg","https://mauiandsons.cl/1000080421-negro-gorro-5g1070.html","https://mauiandsons.cl/media/catalog/product/5/g/5g1070-mi20-1_1_4.jpg","4990.00 CLP","","","Maui and Sons","","","Negro","",""
"1000080422_Verde","in stock","new","Gorro 5G1070","Estilo de Color: LisoComposicion: 100% AcrylicPeso Aproximado: 0.600 kg","https://mauiandsons.cl/1000080422-verde-gorro-5g1070.html","https://mauiandsons.cl/media/catalog/product/5/g/5g1070-mi20-2_1_4.jpg","4990.00 CLP","","","Maui and Sons","","","Verde","",""
"22591206211924_Negro","in stock","new","Gorro 5AV192","EstilodeColor: TEJComposicion: 100%Acr√≠licoPeso Aproximado: 0.280 kg","https://mauiandsons.cl/22591206211924-negro-gorro-5av192.html","https://mauiandsons.cl/media/catalog/product/5/a/5av192-mi19_1.jpg","7990.00 CLP","","","Maui and Sons","","","","",""
